EMPLOYEE_ID;FIRST_NAME;LAST_NAME;EMAIL;PHONE_NUMBER;HIRE_DATE;JOB_ID;SALARY;COMMISSION_PCT;MANAGER_ID;DEPARTMENT_ID;NOTES
115;Alexander;Khoo;AKHOO;515.127.4562;18-MAY-03;PU_CLERK;3100; - ;114;30;"pending..."
116;Shelli;Baida;SBAIDA;515.127.4563;24-DEC-05;PU_CLERK;2900; - ;114;30;"pending..."
117;Sigal;Tobias;STOBIAS;515.127.4564;24-JUL-05;PU_CLERK;2800; - ;114;30;"pending..."
118;Guy;Himuro;GHIMURO;515.127.4565;15-NOV-06;PU_CLERK;2600; - ;114;30;"pending..."
119;Karen;Colmenares;KCOLMENA;515.127.4566;10-AUG-07;PU_CLERK;2500; - ;114;30;"pending..."
120;Matthew;Weiss;MWEISS;650.123.1234;18-JUL-04;ST_MAN;8000; - ;100;50;"pending..."
121;Adam;Fripp;AFRIPP;650.123.2234;10-APR-05;ST_MAN;8200; - ;100;50;"pending..."
122;Payam;Kaufling;PKAUFLIN;650.123.3234;01-MAY-03;ST_MAN;7900; - ;100;50;"pending..."
123;Shanta;Vollman;SVOLLMAN;650.123.4234;10-OCT-05;ST_MAN;6500; - ;100;50;"pending..."
124;Kevin;Mourgos;KMOURGOS;650.123.5234;16-NOV-07;ST_MAN;5800; - ;100;50;"pending..."
125;Julia;Nayer;JNAYER;650.124.1214;16-JUL-05;ST_CLERK;3200; - ;120;50;"pending..."
126;Irene;Mikkilineni;IMIKKILI;650.124.1224;28-SEP-06;ST_CLERK;2700; - ;120;50;"pending..."
127;James;Landry;JLANDRY;650.124.1334;14-JAN-07;ST_CLERK;2400; - ;120;50;"pending..."
128;Steven;Markle;SMARKLE;650.124.1434;08-MAR-08;ST_CLERK;2200; - ;120;50;"pending..."
129;Laura;Bissot;LBISSOT;650.124.5234;20-AUG-05;ST_CLERK;3300; - ;121;50;"pending..."
130;Mozhe;Atkinson;MATKINSO;650.124.6234;30-OCT-05;ST_CLERK;2800; - ;121;50;"pending..."
131;James;Marlow;JAMRLOW;650.124.7234;16-FEB-05;ST_CLERK;2500; - ;121;50;"pending..."
132;TJ;Olson;TJOLSON;650.124.8234;10-APR-07;ST_CLERK;2100; - ;121;50;"pending..."
133;Jason;Mallin;JMALLIN;650.127.1934;14-JUN-04;ST_CLERK;3300; - ;122;50;"pending..."
134;Michael;Rogers;MROGERS;650.127.1834;26-AUG-06;ST_CLERK;2900; - ;122;50;"pending..."
135;Ki;Gee;KGEE;650.127.1734;12-DEC-07;ST_CLERK;2400; - ;122;50;"pending..."
136;Hazel;Philtanker;HPHILTAN;650.127.1634;06-FEB-08;ST_CLERK;2200; - ;122;5;"pending..."
137;Renske;Ladwig;RLADWIG;650.121.1234;14-JUL-03;ST_CLERK;3600; - ;123;50;"pending..."
138;Stephen;Stiles;SSTILES;650.121.2034;26-OCT-05;ST_CLERK;3200; - ;123;50;"pending..."
139;John;Seo;JSEO;650.121.2019;12-FEB-06;ST_CLERK;2700; - ;123;50;"eligible for senior pay; can work evenings"
140;Joshua;Patel;JPATEL;650.121.1834;06-APR-06;ST_CLERK;2500; - ;123;50;"asked for raise; wants to work in the sales department"
